,,,All features released after March 4th 2024 are not available on legacy plans,,,,,,,,,,,,NEW (ALL PLATFORMS),,,,,,,New Shopify,,,,New SelfServe,,Salla Pricing,,,
,Section,Type,Feature,Notes,Release Date,Benefit,Medium,Medium Sub-Category,Benefit Tier,Use Case,Scalable,Transactional Report Available,Event Data Collected,Needed Now?,Kickstarter,Basic,Growth,Master,Provided on Legacy Plans?,Transition Action,Seed Data Change Needed,Free,Starter,Pro,Guru,Growth,Enterprise,Free (الباقه المجانية),Starter (الباقه البرونزية),Pro (الباقه الفضية),Guru (الباقه الذهبية)
,listing page,,,,,,,,,,,,,,,,,,,,,https://apps.shopify.com/gameball,,,,,,https://apps.salla.sa/ar/app/1407572580,,,
,Loyalty Points - Redeem,Limitation,Fixed Amount,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Percentage based,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Free product ,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Free Shipping,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,POS - Fixed Amount,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),No,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,POS - Percebtage Based,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),No,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Custom Rewards (Third Party),,,,,,,,,,,,,,,,,,,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (Sales),Hidden (Sales),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
11,Loyalty Points - Redeem,Action,Hide Default Redemption Method,,,Engagement,Loyalty (Points),Customization,Advanced,,0,No,No,,NA,NA,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Apply rule (free product) on specific variant,,,,,,,,,,,,No,No,Yes,Yes,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,,Customize Reward Image,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,Loyalty Points - Redeem,,Automatically fetch product image,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Customize Free Product Name (Will be deleted),,,,,,,,,,,,No,No,Yes,Yes,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,Limitation,Customize Reward Name,,,,,,,,,,,,No,No,Yes,Yes,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,,Eligible Customers (Redemption rule only),,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
11,Loyalty Points - Redeem,Action,Edit Points Expiry General,,,Engagement,Loyalty (Points),Customization,Advanced,,0,No,No,,No,No,No,Yes,,switch,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Loyalty Points - Redeem,,Points Holding Duration,,,,,,,,,,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,Yes
9,Referral,Page access,Access Referral page,,,Productivity,Data Presentation,, Basic,,0,Yes,Partial,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Referral,Limitation,Customize Referral Rule,,,Acquisition,Referral,,Advanced,,1,Yes,No,,Customer & Guest Only,All,All,All,,,,First Order Only,Customized Event,Customized Event,Customized Event,Customized Event,Customized Event,First Order Only,Customized Event,Customized Event,Customized Event
